Month,Year,Quarter,Category,Manufacturer,State,FuelType,Registrations
2016-Q1,2016,Q1,2W,Bajaj,Delhi,Electric,8
2016-Q1,2016,Q1,2W,Bajaj,Delhi,Petrol,475
2016-Q1,2016,Q1,2W,Bajaj,Gujarat,Electric,6
2016-Q1,2016,Q1,2W,Bajaj,Gujarat,Petrol,664
2016-Q1,2016,Q1,2W,Bajaj,Haryana,Electric,2
2016-Q1,2016,Q1,2W,Bajaj,Haryana,Petrol,752
2016-Q1,2016,Q1,2W,Bajaj,Karnataka,Electric,6
2016-Q1,2016,Q1,2W,Bajaj,Karnataka,Petrol,799
2016-Q1,2016,Q1,2W,Bajaj,Kerala,Electric,4
2016-Q1,2016,Q1,2W,Bajaj,Kerala,Petrol,347
2016-Q1,2016,Q1,2W,Bajaj,Maharashtra,Electric,14
2016-Q1,2016,Q1,2W,Bajaj,Maharashtra,Petrol,1411
2016-Q1,2016,Q1,2W,Bajaj,Rajasthan,Electric,5
2016-Q1,2016,Q1,2W,Bajaj,Rajasthan,Petrol,677
2016-Q1,2016,Q1,2W,Bajaj,Tamil Nadu,Electric,8
2016-Q1,2016,Q1,2W,Bajaj,Tamil Nadu,Petrol,984
2016-Q1,2016,Q1,2W,Bajaj,Uttar Pradesh,Electric,10
2016-Q1,2016,Q1,2W,Bajaj,Uttar Pradesh,Petrol,784
2016-Q1,2016,Q1,2W,Bajaj,West Bengal,Electric,9
2016-Q1,2016,Q1,2W,Bajaj,West Bengal,Petrol,765
2016-Q1,2016,Q1,2W,Hero,Delhi,Electric,21
2016-Q1,2016,Q1,2W,Hero,Delhi,Petrol,1518
2016-Q1,2016,Q1,2W,Hero,Gujarat,Electric,20
2016-Q1,2016,Q1,2W,Hero,Gujarat,Petrol,2537
2016-Q1,2016,Q1,2W,Hero,Haryana,Electric,19
2016-Q1,2016,Q1,2W,Hero,Haryana,Petrol,2230
2016-Q1,2016,Q1,2W,Hero,Karnataka,Electric,23
2016-Q1,2016,Q1,2W,Hero,Karnataka,Petrol,3143
2016-Q1,2016,Q1,2W,Hero,Kerala,Electric,22
2016-Q1,2016,Q1,2W,Hero,Kerala,Petrol,1668
2016-Q1,2016,Q1,2W,Hero,Maharashtra,Electric,40
2016-Q1,2016,Q1,2W,Hero,Maharashtra,Petrol,3743
2016-Q1,2016,Q1,2W,Hero,Rajasthan,Electric,26
2016-Q1,2016,Q1,2W,Hero,Rajasthan,Petrol,1788
2016-Q1,2016,Q1,2W,Hero,Tamil Nadu,Electric,36
2016-Q1,2016,Q1,2W,Hero,Tamil Nadu,Petrol,3114
2016-Q1,2016,Q1,2W,Hero,Uttar Pradesh,Electric,27
2016-Q1,2016,Q1,2W,Hero,Uttar Pradesh,Petrol,2469
2016-Q1,2016,Q1,2W,Hero,West Bengal,Electric,27
2016-Q1,2016,Q1,2W,Hero,West Bengal,Petrol,2416
2016-Q1,2016,Q1,2W,Honda,Delhi,Electric,20
2016-Q1,2016,Q1,2W,Honda,Delhi,Petrol,1379
2016-Q1,2016,Q1,2W,Honda,Gujarat,Electric,19
2016-Q1,2016,Q1,2W,Honda,Gujarat,Petrol,1865
2016-Q1,2016,Q1,2W,Honda,Haryana,Electric,13
2016-Q1,2016,Q1,2W,Honda,Haryana,Petrol,1296
2016-Q1,2016,Q1,2W,Honda,Karnataka,Electric,19
2016-Q1,2016,Q1,2W,Honda,Karnataka,Petrol,1827
2016-Q1,2016,Q1,2W,Honda,Kerala,Electric,11
2016-Q1,2016,Q1,2W,Honda,Kerala,Petrol,1143
2016-Q1,2016,Q1,2W,Honda,Maharashtra,Electric,31
2016-Q1,2016,Q1,2W,Honda,Maharashtra,Petrol,3058
2016-Q1,2016,Q1,2W,Honda,Rajasthan,Electric,10
2016-Q1,2016,Q1,2W,Honda,Rajasthan,Petrol,1234
2016-Q1,2016,Q1,2W,Honda,Tamil Nadu,Electric,25
2016-Q1,2016,Q1,2W,Honda,Tamil Nadu,Petrol,1966
2016-Q1,2016,Q1,2W,Honda,Uttar Pradesh,Electric,16
2016-Q1,2016,Q1,2W,Honda,Uttar Pradesh,Petrol,1851
2016-Q1,2016,Q1,2W,Honda,West Bengal,Electric,19
2016-Q1,2016,Q1,2W,Honda,West Bengal,Petrol,2167
2016-Q1,2016,Q1,2W,TVS,Delhi,Electric,12
2016-Q1,2016,Q1,2W,TVS,Delhi,Petrol,838
2016-Q1,2016,Q1,2W,TVS,Gujarat,Electric,16
2016-Q1,2016,Q1,2W,TVS,Gujarat,Petrol,1225
2016-Q1,2016,Q1,2W,TVS,Haryana,Electric,4
